product_id,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00
STKA6MQ10S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VD51ZQPY9D,903,1398,3260,1662,2822,3507,3152,3569,3860,3637,3428,982,1130,964,873,766,1337,3504,2097,1349,1164,2076,1569,1294,1579,1131,1567,1428,1396,1381,2267,2163,1232,1435,1592,965,765,821,393
WLD5DLYFB0,12,26,17,4,62,133,76,6,138,200,219,24,63,74,61,22,6,186,25,110,95,50,128,70,9,14,93,3,98,48,50,355,51,8,19,53,16,16,4
WS7C94TZ6U,0,1,28,0,0,78,0,92,0,0,0,0,0,0,1,1,0,34,2,17,0,51,48,0,12,17,22,16,48,1,0,0,0,0,0,68,12,0,0
X7R6XY5T33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0
XD4I34ED7F,734,1394,1592,1300,1467,2553,2176,2431,2533,2501,3064,850,873,965,848,772,870,2756,1625,1635,1275,2331,1384,840,1482,801,1347,1581,1536,1472,1676,1985,1112,1018,1516,1367,930,682,352
XZ6UVEYK40,604,1397,3121,1967,2355,5176,3380,2670,3655,4360,4765,1936,1315,1360,999,397,1430,2294,7477,2910,1428,2917,2875,3182,2557,1000,1840,1270,1383,2060,2142,1720,1544,1675,1640,1086,1509,1321,473
YRRT480XIZ,74,17,126,165,209,46,26,40,4,60,75,28,5,4,8,7,2,10,6,0,5,30,2,2,48,28,61,2,22,64,9,2,3,53,0,2,19,19,12
Z4N23EOA13,431,1928,1660,1017,1507,2315,1926,2006,2020,2316,1720,490,411,565,823,574,1151,1282,796,1087,828,1804,1187,2299,1348,607,726,675,1154,873,905,830,872,837,790,359,195,174,235
Z6OHD7VB3J,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ZH8YQX1ZL2,18,295,223,334,257,566,407,389,176,184,177,9,27,17,28,36,192,51,142,62,263,148,287,193,99,71,91,71,23,33,147,73,58,145,96,64,38,20,0
ZWL2RHU5YP,140,362,786,407,1126,869,689,567,466,1256,671,136,185,187,223,210,608,587,393,174,214,763,590,540,275,232,587,331,321,316,348,380,186,293,477,337,268,281,124
