customer_id,2017-01-31 00:00:00+00:00,2017-02-28 00:00:00+00:00,2017-03-31 00:00:00+00:00,2017-04-30 00:00:00+00:00,2017-05-31 00:00:00+00:00,2017-06-30 00:00:00+00:00,2017-07-31 00:00:00+00:00,2017-08-31 00:00:00+00:00,2017-09-30 00:00:00+00:00,2017-10-31 00:00:00+00:00,2017-11-30 00:00:00+00:00,2017-12-31 00:00:00+00:00,2018-01-31 00:00:00+00:00,2018-02-28 00:00:00+00:00,2018-03-31 00:00:00+00:00,2018-04-30 00:00:00+00:00,2018-05-31 00:00:00+00:00,2018-06-30 00:00:00+00:00,2018-07-31 00:00:00+00:00,2018-08-31 00:00:00+00:00,2018-09-30 00:00:00+00:00,2018-10-31 00:00:00+00:00,2018-11-30 00:00:00+00:00,2018-12-31 00:00:00+00:00,2019-01-31 00:00:00+00:00,2019-02-28 00:00:00+00:00,2019-03-31 00:00:00+00:00,2019-04-30 00:00:00+00:00,2019-05-31 00:00:00+00:00,2019-06-30 00:00:00+00:00,2019-07-31 00:00:00+00:00,2019-08-31 00:00:00+00:00,2019-09-30 00:00:00+00:00,2019-10-31 00:00:00+00:00,2019-11-30 00:00:00+00:00,2019-12-31 00:00:00+00:00,2020-01-31 00:00:00+00:00,2020-02-29 00:00:00+00:00,2020-03-31 00:00:00+00:00
3442852,10,69,71,27,64,128,57,13,8,22,61,6,10,3,0,0,0,0,50,20,1,0,30,2,0,8,0,0,0,0,0,3,0,5,1,12,4,7,0
3444031,0,1,8,0,6,1,23,0,8,0,24,2,3,46,15,20,7,53,197,103,7,17,9,37,3,11,25,15,7,6,3,8,4,4,0,0,2,2,0
3445526,0,0,5,6,4,15,0,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3446109,0,0,0,0,0,0,23,12,5,0,0,0,0,4,0,0,4,21,11,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3448261,8,5,9,8,6,1,5,11,14,4,14,2,4,4,5,8,13,8,4,6,1,10,0,10,2,2,4,5,3,1,4,2,2,0,1,2,2,0,0
3456891,0,0,0,0,0,0,0,0,0,28,243,135,4,8,2,9,51,3,18,16,1,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
3457521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3458432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3461789,4,20,31,21,8,25,29,4,25,21,41,17,14,4,8,2,12,10,29,25,28,4,24,72,32,19,9,21,3,19,31,9,13,13,13,4,15,17,1
3463352,42,244,291,141,296,496,511,364,243,749,981,331,82,198,51,24,209,321,576,271,254,406,527,840,518,145,299,67,212,100,96,135,51,46,83,25,55,45,5
3464452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3476885,8,22,15,15,4,23,16,25,46,47,20,0,20,2,3,11,42,26,9,54,32,27,43,10,31,64,7,36,7,17,19,13,17,7,9,6,14,9,0
3480969,0,1,0,0,2,12,0,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,36,6,0,9,0,0,0,0,0,3,1,1,1,0
3485647,2,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,12,4
3488801,0,0,0,0,0,50,282,28,151,188,135,17,29,59,14,11,16,101,5,3,3,11,14,78,36,16,8,7,14,11,2,0,10,5,22,1,0,3,7
3512933,0,53,11,9,0,37,29,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,20,0,22,8,17,0,13,0,18,2,8,1,0,7,1,0
3520704,0,0,0,0,0,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3522422,0,0,0,0,0,0,0,0,0,0,0,0,3,12,0,0,2,28,1,2,0,0,3,0,0,2,5,0,0,0,4,0,0,0,0,0,0,0,0
3533637,0,4,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3544770,0,10,0,0,0,0,0,0,0,0,0,0,0,7,6,7,13,7,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,2,0,0
3554171,0,0,0,4,4,16,0,0,8,0,0,1,0,1,0,0,0,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3557656,6,52,66,16,63,36,50,14,9,60,106,9,16,5,1,8,14,49,18,5,15,88,23,0,5,0,19,6,27,50,33,25,15,15,11,6,1,7,2
3559082,41,46,7,0,40,155,126,27,195,250,177,6,11,45,11,0,10,13,9,16,37,14,6,28,50,7,19,0,1,5,1,6,1,26,15,2,2,2,3
3560458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3563063,0,0,0,0,0,138,25,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3566302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,10,86,0,39,79,16,6,4,16,2,5,2,15,28,0,18,0,1,0
3578602,0,0,0,1,0,18,22,0,43,6,20,16,2,1,33,2,0,2,0,13,8,7,11,0,0,7,4,0,0,11,0,0,0,0,14,5,0,1,0
3583833,0,0,0,0,0,0,0,0,4,19,5,5,2,1,0,1,0,0,0,0,1,1,3,0,9,6,11,1,3,0,1,2,0,17,0,0,0,0,0
3585102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
3586757,0,24,25,6,25,22,10,18,72,84,79,56,36,20,36,17,23,31,11,41,40,90,95,52,35,1,16,13,27,36,22,0,19,66,51,45,22,12,1
3588074,0,0,0,2,8,11,21,8,7,15,4,1,1,0,2,0,0,22,2,0,17,3,2,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
3588973,0,15,9,9,6,16,24,10,25,46,21,11,0,4,0,0,5,0,1,0,3,10,70,263,4,10,6,13,47,21,14,3,3,21,8,11,6,12,1
3593488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
3594254,5,29,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3596838,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3608705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3609970,0,0,2,2,7,0,2,0,0,2,6,0,1,0,0,7,4,6,0,3,5,3,0,8,2,2,1,2,5,2,1,0,0,0,0,0,0,0,0
3611278,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3614559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0,0,0,0,0
3614707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,57,32,5,12,0,40,11,12,0,1,2,8,1,0,0,1,0,0,0,0,0,0,0
3630984,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3634525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
3639823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3641056,2,1,9,0,15,43,14,4,19,0,49,22,0,2,2,0,1,0,0,0,0,8,3,22,7,6,0,0,17,3,0,2,0,0,0,2,5,1,0
3648889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,2,0,0,0,0,0,0,0,8,0,0
3651340,1,26,126,16,130,159,115,56,54,104,67,12,1,11,10,3,0,13,62,3,14,51,34,54,122,32,19,15,6,1,3,14,12,2,0,1,4,3,0
3651669,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
3652075,0,3,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3659944,0,3,11,13,8,0,3,0,0,0,0,0,0,0,3,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3661126,4,0,1,0,0,0,0,0,0,12,20,24,2,6,16,22,40,7,0,0,33,40,0,4,41,0,0,0,2,0,0,0,0,0,0,0,0,0,0
